Rk,Player Name,Nation,Position,Squad,Comp,Age,Birth Year,Games,Starts,Minutes,Nintys,Gls,Ast,G+A,G-PK,PK,PKatt,Yellow,Red,PrgC,PrgP,PrgR,Market Value
136,ronald arajo,URU,DF,barcelona,La Liga,25,1999,3,3,156,1.7,0,0,0,0,0,0,1,0,2,11,1,55.0
137,cameron archer,ENG,FW,southampton,Premier League,23,2001,23,11,1124,12.5,2,0,2,2,0,1,0,0,15,12,50,14.0
138,carlens arcus,HAI,DF,angers,Ligue 1,28,1996,19,18,1454,16.2,0,1,1,0,0,0,2,0,27,44,52,12.58
139,alphonse areola,FRA,GK,west ham,Premier League,31,1993,15,14,1270,14.1,0,0,0,0,0,0,0,0,0,0,0,10.0
140,adu ares,ESP,FW,athletic club,La Liga,23,2001,1,0,19,0.2,0,0,0,0,0,0,0,0,1,3,2,12.58
141,jess areso,ESP,DF,osasuna,La Liga,25,1999,23,22,1949,21.7,0,1,1,0,0,0,5,0,68,74,134,8.0
142,david argelles,ESP,MF,getafe,La Liga,23,2002,1,0,7,0.1,0,0,0,0,0,0,0,0,1,0,0,12.58
143,joe aribo,NGA,MF,southampton,Premier League,28,1996,25,17,1639,18.2,3,0,3,3,0,0,1,0,31,62,56,12.58
144,adam armstrong,ENG,FW,southampton,Premier League,28,1997,20,15,1248,13.9,2,2,4,2,0,1,4,0,25,21,79,16.0
145,harrison armstrong,ENG,MF,everton,Premier League,18,2007,3,0,48,0.5,0,0,0,0,0,0,1,0,1,1,0,12.58
146,jos arnaiz,ESP,FW,osasuna,La Liga,29,1995,8,0,54,0.6,0,0,0,0,0,0,0,0,4,3,11,12.58
147,hkon arnar haraldsson,ISL,MF,lille,Ligue 1,21,2003,15,12,1017,11.3,4,2,6,4,0,0,2,0,29,60,83,9.0
148,marko arnautovi,AUT,FW,inter,Serie A,35,1989,9,0,170,1.9,1,1,2,1,0,0,1,0,1,5,27,12.58
149,maximilian arnold,GER,MF,wolfsburg,Bundesliga,30,1994,20,20,1746,19.4,2,4,6,2,0,0,7,0,6,92,9,12.58
150,jannfiete arp,GER,FW,holstein kiel,Bundesliga,25,2000,18,3,615,6.8,2,0,2,1,1,2,5,1,12,18,50,12.58
151,sergio arribas,ESP,DF,betis,La Liga,22,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0,1,4,10.0
152,kepa arrizabalaga,ESP,GK,bournemouth,Premier League,30,1994,19,19,1710,19.0,0,0,0,0,0,0,3,0,0,0,0,20.0
153,arthur,BRA,DF,leverkusen,Bundesliga,21,2003,11,5,431,4.8,0,1,1,0,0,0,0,0,8,13,34,5.0
154,takuma asano,JPN,FW,mallorca,La Liga,30,1994,13,6,557,6.2,0,0,0,0,0,0,0,0,19,11,42,12.58
155,ral asencio,ESP,DF,real madrid,La Liga,22,2003,13,8,859,9.5,0,1,1,0,0,0,0,0,3,11,4,7.5
156,marco asensio,ESP,MF,aston villa,Premier League,29,1996,3,2,184,2.0,2,0,2,2,0,0,0,0,9,15,6,20.0
158,kristjan asllani,ALB,MF,inter,Serie A,22,2002,15,6,603,6.7,0,2,2,0,0,0,3,0,7,43,17,18.0
159,iago aspas,ESP,FW,celta vigo,La Liga,37,1987,18,13,1261,14.0,8,3,11,4,4,5,4,1,40,95,94,12.58
160,yaser asprilla,COL,FW,girona,La Liga,21,2003,16,9,866,9.6,2,0,2,2,0,0,2,0,41,60,91,18.0
